flight_number,airline,origin,destination,departure_iso,arrival_iso,duration_min,base_price,price_real,seats_total,seats_available,flight_date
AI808,AirIndia,Hyderabad,Bengaluru,2025-12-03T21:00:00,2025-12-03T22:15:00,75,7000,9000,180,180,2025-12-03
SG909,SpiceJet,Bengaluru,Chennai,2025-12-02T14:00:00,2025-12-02T15:05:00,65,6500,7161.82,150,150,2025-12-02
TS200,TestAir,Delhi,Goa,2025-12-10T08:00:00,2025-12-10T09:30:00,90,6000,7973.97,180,180,2025-12-10
6E555,IndiGo,Hyderabad,Mumbai,2025-12-05T06:30:00,2025-12-05T08:00:00,90,6500,8200,180,180,2025-12-05
UK303,Vistara,Delhi,Bengaluru,2025-12-06T18:10:00,2025-12-06T20:50:00,160,7800,9000,180,180,2025-12-06
AI676,AirIndia,Mumbai,Kolkata,2025-12-04T11:00:00,2025-12-04T13:30:00,150,9500,10500,200,200,2025-12-04
QP123,AkasaAir,Hyderabad,Chennai,2025-12-07T09:45:00,2025-12-07T10:55:00,70,6200,7000,190,190,2025-12-07
SG404,SpiceJet,Chennai,Delhi,2025-12-08T05:40:00,2025-12-08T08:10:00,150,7200,8000,180,180,2025-12-08
6E220,IndiGo,Goa,Hyderabad,2025-12-09T16:00:00,2025-12-09T17:20:00,80,5500,6500,180,180,2025-12-09
AI445,AirIndia,Delhi,Mumbai,2025-12-11T07:30:00,2025-12-11T09:35:00,125,8500,9500,200,200,2025-12-11
